                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.78135,                  0.389,                 1.0483,                0.94521,                 0.9301,                0.95998,                 0.5962,                 1.4477,                0.54717,                 1.5626,              0.0006338,              0.0006338,              0.0006338
                     72,                0.77544,                0.38657,                 1.0471,                0.92135,                0.94742,                0.95868,                0.59464,                 1.4354,                0.54979,                 1.5809,               0.000614,               0.000614,               0.000614
                     73,                0.74947,                0.40428,                 1.0325,                0.93182,                0.93325,                0.96111,                0.60206,                 1.4235,                0.54832,                 1.5769,              0.0005942,              0.0005942,              0.0005942
                     74,                 0.7613,                0.38572,                 1.0518,                0.94082,                0.93873,                0.96114,                 0.6011,                 1.4286,                0.53336,                 1.5623,              0.0005744,              0.0005744,              0.0005744
                     75,                0.74227,                0.37351,                 1.0288,                0.93131,                0.94095,                0.96174,                0.59658,                 1.4371,                0.54105,                 1.5878,              0.0005546,              0.0005546,              0.0005546
                     76,                0.74033,                0.36471,                 1.0313,                0.93765,                0.92665,                0.95143,                0.58602,                 1.4511,                0.55698,                 1.6026,              0.0005348,              0.0005348,              0.0005348
                     77,                0.71158,                0.35055,                 1.0152,                0.93546,                0.93068,                0.95623,                 0.5924,                 1.4433,                0.54442,                 1.6185,               0.000515,               0.000515,               0.000515
                     78,                0.76019,                0.38075,                 1.0393,                0.94188,                0.93838,                0.95688,                0.58906,                 1.4266,                  0.537,                 1.5831,              0.0004952,              0.0004952,              0.0004952
                     79,                0.71477,                0.36056,                 1.0237,                0.93782,                0.94866,                0.96225,                0.59284,                 1.4428,                 0.5381,                  1.613,              0.0004754,              0.0004754,              0.0004754
                     80,                0.70601,                 0.3571,                 1.0256,                0.94216,                0.92683,                0.95542,                0.59995,                 1.4391,                0.55284,                 1.5987,              0.0004556,              0.0004556,              0.0004556
                     81,                 0.7064,                 0.3489,                 1.0133,                0.93277,                0.94399,                0.95943,                0.59709,                 1.4305,                0.54305,                  1.598,              0.0004358,              0.0004358,              0.0004358
                     82,                0.70341,                0.35247,                 1.0102,                0.93622,                0.94217,                 0.9609,                0.60282,                 1.4359,                0.54163,                 1.6055,               0.000416,               0.000416,               0.000416
                     83,                0.69273,                 0.3473,                 1.0102,                0.93863,                 0.9424,                0.96125,                0.60436,                   1.43,                0.53983,                 1.6008,              0.0003962,              0.0003962,              0.0003962
                     84,                0.69586,                0.34959,                 1.0115,                0.93608,                 0.9448,                0.95552,                0.59988,                 1.4185,                0.54893,                 1.6003,              0.0003764,              0.0003764,              0.0003764
                     85,                0.68054,                0.34825,                 1.0063,                0.93486,                0.93958,                0.95228,                0.59514,                 1.4309,                0.54526,                 1.6227,              0.0003566,              0.0003566,              0.0003566
                     86,                 0.6787,                0.34321,                0.99126,                0.93387,                0.94269,                 0.9564,                0.60479,                 1.4376,                0.54625,                  1.618,              0.0003368,              0.0003368,              0.0003368
                     87,                0.65858,                0.33945,                0.98594,                0.94312,                0.93652,                0.95625,                 0.6011,                 1.4348,                0.54331,                 1.6326,               0.000317,               0.000317,               0.000317
                     88,                0.66557,                0.34287,                0.99884,                0.94289,                0.93254,                0.95843,                0.59547,                 1.4353,                0.54504,                 1.6303,              0.0002972,              0.0002972,              0.0002972
                     89,                0.66115,                0.33257,                0.98815,                 0.9448,                0.94479,                0.96116,                0.60514,                 1.4208,                 0.5396,                 1.6371,              0.0002774,              0.0002774,              0.0002774
                     90,                0.63554,                0.32677,                0.97206,                0.94955,                0.93325,                0.96431,                0.60632,                 1.4405,                0.54793,                   1.66,              0.0002576,              0.0002576,              0.0002576
                     91,                0.60371,                0.28054,                0.96252,                0.93508,                  0.943,                0.96098,                0.60265,                 1.4462,                0.54192,                 1.6586,              0.0002378,              0.0002378,              0.0002378
                     92,                0.59034,                0.28632,                0.95937,                0.93126,                0.93907,                 0.9603,                0.60301,                 1.4466,                0.53904,                 1.6502,               0.000218,               0.000218,               0.000218
                     93,                0.57521,                0.27037,                0.95048,                0.93204,                0.93453,                0.95791,                0.60446,                 1.4283,                 0.5377,                 1.6404,              0.0001982,              0.0001982,              0.0001982
                     94,                0.57328,                 0.2717,                0.95335,                0.92754,                0.94223,                0.96089,                0.60458,                 1.4359,                0.54522,                 1.6474,              0.0001784,              0.0001784,              0.0001784
                     95,                  0.554,                0.25955,                0.94262,                0.93816,                0.93479,                0.96087,                 0.6115,                 1.4319,                0.54241,                 1.6413,              0.0001586,              0.0001586,              0.0001586
                     96,                0.55843,                0.26161,                0.93772,                0.93944,                0.93325,                0.96296,                0.60551,                  1.441,                 0.5469,                 1.6655,              0.0001388,              0.0001388,              0.0001388
                     97,                0.54651,                0.26233,                0.93564,                0.92342,                0.94418,                0.96464,                0.60609,                  1.441,                0.54628,                 1.6546,               0.000119,               0.000119,               0.000119
                     98,                0.54186,                0.25785,                0.93682,                0.93193,                0.94095,                0.96263,                0.61141,                 1.4356,                0.53991,                 1.6577,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.53011,                0.25553,                0.92981,                0.93477,                0.93813,                0.96386,                0.61255,                 1.4313,                0.54217,                 1.6644,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.53307,                 0.2545,                0.92657,                0.93687,                0.94095,                0.96424,                0.61373,                 1.4391,                0.54166,                 1.6762,               5.96e-05,               5.96e-05,               5.96e-05
